time="2024-06-25T23:54:22+08:00" level=warning msg="/srv/dev-disk-by-uuid-417ee010-3948-4114-8776-bc1fdf6b5599/data/docker_compose/Odoo_16/Odoo_16.yml: `version` is obsolete"
web-1  | 2024-06-25 15:48:35,201 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:35] "GET /web/binary/company_logo HTTP/1.1" 200 - 2 0.002 0.006
web-1  | 2024-06-25 15:48:35,307 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:35] "GET /web/assets/17-0d3d3c3/web.assets_frontend_lazy.min.js HTTP/1.1" 200 - 5 0.003 0.008
web-1  | 2024-06-25 15:48:35,656 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:35] "GET /web/webclient/translations/1719330515516 HTTP/1.1" 200 - 3 0.002 0.011
web-1  | 2024-06-25 15:48:37,341 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:37] "GET /web/webclient/translations/1719330517204 HTTP/1.1" 200 - 3 0.002 0.007
web-1  | 2024-06-25 15:48:37,366 1 INFO ? werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:37] "GET /web/static/img/spin.svg HTTP/1.1" 200 - 0 0.000 0.003
web-1  | 2024-06-25 15:48:39,474 1 INFO odoo_16_docker werkzeug: 127.0.0.1 - - [25/Jun/2024 15:48:39] "GET /web/database/selector HTTP/1.1" 200 - 5 0.014 1.316
web-1  | 2024-06-25 15:48:43,965 1 INFO odoo_16_docker odoo.addons.base.models.ir_cron: Starting job `Base: Auto-vacuum internal data`. 
web-1  | 2024-06-25 15:48:44,014 1 INFO odoo_16_docker odoo.addons.base.models.ir_attachment: filestore gc 14 checked, 0 removed 
web-1  | 2024-06-25 15:48:44,118 1 INFO odoo_16_docker odoo.addons.base.models.res_users: GC'd 0 user log entries 
web-1  | 2024-06-25 15:48:44,171 1 INFO odoo_16_docker odoo.addons.auth_totp.models.auth_totp: GC'd 0 totp devices entries 
